Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
South Carolina,US,34.22333378,-82.46170658,34,0,0
Louisiana,US,30.2950649,-92.41419698,159,11,0
Virginia,US,37.76707161,-75.63234615,593,8,0
Idaho,US,43.4526575,-116.2415516,759,22,0
Iowa,US,41.33075609,-94.47105874,4,0,0
Kentucky,US,37.10459774,-85.28129668,91,14,0
Missouri,US,40.19058551,-92.60078167,15,0,0
Oklahoma,US,35.88494195,-94.65859267,74,3,0
Colorado,US,39.87432092,-104.3362578,2448,91,0
Idaho,US,44.89333571,-116.4545247,3,0,0
Illinois,US,39.98815591,-91.18786813,41,1,0
Indiana,US,40.7457653,-84.93671406,9,1,0
Mississippi,US,31.47669768,-91.35326037,164,15,0
Nebraska,US,40.5244942,-98.50117804,238,3,0
Ohio,US,38.84541072,-83.4718964,7,0,0
Pennsylvania,US,39.87140411,-77.21610347,174,5,0
Washington,US,46.98299757,-118.5601734,50,0,0
Wisconsin,US,43.96974651,-89.76782777,4,1,0
Vermont,US,44.03217337,-73.14130877,62,2,0
South Carolina,US,33.54338026,-81.63645384,135,7,0
Minnesota,US,46.60962049,-93.4116826,2,0,0
Florida,US,29.67866525,-82.35928158,330,5,0
North Carolina,US,36.0434701,-79.39976137,196,9,0
California,US,37.64629437,-121.8929271,2234,79,0
Colorado,US,37.57250606,-105.7885451,37,2,0
New York,US,42.60060306,-73.97723916,1509,66,0
Wyoming,US,41.65498705,-105.7235415,8,0,0
Virginia,US,38.02080697,-78.55481085,130,4,0
Michigan,US,44.6846864,-83.59507875,5,1,0
Mississippi,US,34.88084463,-88.57996173,12,1,0
Illinois,US,37.18049267,-89.32910838,8,0,0
North Carolina,US,35.9223796,-81.17751948,15,0,0
Virginia,US,38.814003,-77.08183073,1349,32,0
Oklahoma,US,36.73090616,-98.32408495,1,0,0
Iowa,US,43.28383218,-91.37860922,115,4,0
Michigan,US,42.59147037,-85.89102866,168,2,0
